Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
10-FEB-2026,STLNETWORK,23.24,22.53,0.0310,0.0208,0.0209,0.3993
10-FEB-2026,STLTECH,157.50,142.90,0.0973,0.0354,0.0360,0.6878
10-FEB-2026,STOVEKRAFT,537.10,539.60,-0.0046,0.0279,0.0278,0.5311
10-FEB-2026,STUDDS,520.65,510.30,0.0201,0.0092,0.0093,0.1777
10-FEB-2026,STYL,270.00,263.50,0.0244,0.0151,0.0151,0.2885
10-FEB-2026,STYLAMIND,2214.30,2207.80,0.0029,0.0243,0.0243,0.4643
10-FEB-2026,STYLEBAAZA,347.90,354.90,-0.0199,0.0324,0.0323,0.6171
10-FEB-2026,STYRENIX,1989.55,1904.10,0.0439,0.0195,0.0197,0.3764
10-FEB-2026,SUBEXLTD,10.69,10.62,0.0066,0.0287,0.0287,0.5483
10-FEB-2026,SUBROS,833.40,826.10,0.0088,0.0298,0.0297,0.5674
10-FEB-2026,SUDARCOLOR,368.30,375.10,-0.0183,0.0230,0.0230,0.4394
10-FEB-2026,SUDARSCHEM,974.90,964.55,0.0107,0.0231,0.0230,0.4394
10-FEB-2026,SUDEEPPHRM,662.40,659.90,0.0038,0.0149,0.0148,0.2828
10-FEB-2026,SUKHJITS,177.25,180.00,-0.0154,0.0226,0.0226,0.4318
10-FEB-2026,SULA,189.45,192.65,-0.0167,0.0184,0.0184,0.3515
10-FEB-2026,SUMEETINDS,27.30,26.28,0.0381,0.0276,0.0276,0.5273
10-FEB-2026,SUMICHEM,422.60,421.95,0.0015,0.0204,0.0203,0.3878
10-FEB-2026,SUMIT,49.98,49.99,-0.0002,0.0327,0.0326,0.6228
10-FEB-2026,SUMMITSEC,1835.40,1817.50,0.0098,0.0264,0.0263,0.5025
10-FEB-2026,SUNAYANA,34.00,34.00,0.0000,0.0000,0.0000,0.0000
10-FEB-2026,SUNCLAY,1343.20,1352.25,-0.0067,0.0245,0.0244,0.4662
10-FEB-2026,SUNDARAM,1.66,1.68,-0.0120,0.0252,0.0252,0.4814
10-FEB-2026,SUNDARMFIN,5321.00,5450.90,-0.0241,0.0217,0.0217,0.4146
10-FEB-2026,SUNDRMBRAK,597.35,575.30,0.0376,0.0277,0.0277,0.5292
10-FEB-2026,SUNDRMFAST,929.20,927.10,0.0023,0.0158,0.0158,0.3019
10-FEB-2026,SUNDROP,667.20,637.40,0.0457,0.0218,0.0219,0.4184
10-FEB-2026,SUNFLAG,258.20,256.15,0.0080,0.0253,0.0252,0.4814
10-FEB-2026,SUNPHARMA,1707.80,1704.60,0.0019,0.0122,0.0122,0.2331
10-FEB-2026,SUNTECK,418.95,419.10,-0.0004,0.0233,0.0232,0.4432
10-FEB-2026,SUNTV,614.35,569.90,0.0751,0.0187,0.0194,0.3706
10-FEB-2026,SUPERHOUSE,170.00,171.45,-0.0085,0.0255,0.0255,0.4872
10-FEB-2026,SUPERSPIN,8.02,7.97,0.0063,0.0276,0.0275,0.5254
10-FEB-2026,SUPRAJIT,423.00,449.50,-0.0608,0.0209,0.0213,0.4069
10-FEB-2026,SUPREME,62.48,61.45,0.0166,0.0324,0.0323,0.6171
10-FEB-2026,SUPREMEENG,1.15,1.21,-0.0509,0.0308,0.0309,0.5903
10-FEB-2026,SUPREMEIND,3690.65,3704.95,-0.0039,0.0201,0.0201,0.3840
10-FEB-2026,SUPREMEINF,83.12,82.17,0.0115,0.0316,0.0316,0.6037
10-FEB-2026,SUPRIYA,686.95,687.90,-0.0014,0.0258,0.0257,0.4910
10-FEB-2026,SURAJEST,243.55,240.35,0.0132,0.0291,0.0290,0.5540
10-FEB-2026,SURAJLTD,225.10,224.65,0.0020,0.0244,0.0243,0.4643
