,02-Jun-2026
The Nifty witnessed an intraday movement of about 327.8 points.The closing index was 0.43 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 143327.01
, Traded Quantity (in Lakhs), 55472.64
, Number of Trades, 40028030
, Total Market Capitalisation (Rs. Crores), 46273226.88

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,TCS,EQ,      2297.40,      2446.90,6.51,2735.05
,ICICIBANK,EQ,      1239.70,      1226.60,-1.06,2202.48
,BSE,EQ,      4066.60,      3931.90,-3.31,2198.34
,NETWEB,EQ,      4620.10,      4782.80,3.52,1983.81
,BHARTIARTL,EQ,      1810.60,      1814.20,0.20,1940.48
,APOLLO,EQ,       404.15,       437.00,8.13,1803.14
,NEWGEN,EQ,       441.50,       518.10,17.35,1762.68
,COFORGE,EQ,      1461.20,      1519.50,3.99,1620.11
,NHPC,EQ,        77.20,        72.29,-6.36,1552.55
,SBIN,EQ,       954.10,       956.65,0.27,1513.54
,AXISBANK,EQ,      1275.90,      1251.10,-1.94,1492.50
,MTARTECH,EQ,      7069.50,      7216.00,2.07,1412.04
,BAJFINANCE,EQ,       889.05,       882.00,-0.79,1369.91
,MCX,EQ,      2890.50,      2878.70,-0.41,1321.69
,WOCKPHARMA,EQ,      2152.90,      1966.20,-8.67,1235.11
,M&M,EQ,      2970.20,      2998.30,0.95,1207.68
,HFCL,EQ,       182.28,       189.94,4.20,1204.91
,COALINDIA,EQ,       472.60,       472.15,-0.10,1173.35
,ATGL,EQ,       733.80,       738.15,0.59,1155.00
,JSLL,EQ,       492.20,       590.60,19.99,1035.64
,RUBICON,EQ,      1171.10,      1302.60,11.23,1028.18
,VEDL,EQ,       337.15,       333.55,-1.07,1016.52

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TCS,EQ,      2446.90,      2297.40,6.51
,INFY,EQ,      1270.80,      1202.50,5.68
,HCLTECH,EQ,      1243.50,      1195.10,4.05
,ADANIENT,EQ,      2968.10,      2909.40,2.02
,TECHM,EQ,      1571.40,      1543.20,1.83

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,NTPC,EQ,       367.40,       378.70,-2.98
,AXISBANK,EQ,      1251.10,      1275.90,-1.94
,POWERGRID,EQ,       282.15,       286.15,-1.40
,DRREDDY,EQ,      1274.00,      1290.40,-1.27
,HDFCLIFE,EQ,       579.90,       586.55,-1.13

,Securities Price Volume Data in Normal market
