,01-Feb-2026
The Nifty witnessed an intraday movement of about 869.15 points.The closing index was 1.96 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 116984.25
, Traded Quantity (in Lakhs), 53082.33
, Number of Trades, 36659216
, Total Market Capitalisation (Rs. Crores), 44874409.45

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,63MOONS,EQ,       629.60,                 71851080.45,111501
,648GS2035,GS,       100.60,                   149894.00,1490
,664GS2035,GS,        98.95,                    43735.90,442
,667GS2035,GS,        98.50,                   424508.50,4311
,668GS2033,GS,        98.00,                     9998.50,102
,668GS2040,GS,        96.80,                  1579537.00,16510
,675GS2029,GS,       101.56,                    20306.00,200
,676GS2061,GS,        94.42,                   519541.15,5502
,690GS2065,GS,        94.85,                  7484864.52,79024
,695GS2061,GS,        94.65,                      757.88,8
,699GS2026,GS,       102.00,                   112812.60,1106
,699GS2051,GS,        96.01,                  1268909.93,13253
,702GS2027,GS,       101.50,                   424064.50,4175
,702GS2031,GS,       101.30,                   101300.00,1000
,704GS2029,GS,       102.65,                    10265.00,100
,709GS2054,GS,        99.77,                  2845413.92,28706
,709GS2074,GS,        97.03,                  9142666.70,94243
,710GS2029,GS,       104.66,                  1464489.04,14038
,716GS2050,GS,       101.01,                    50505.00,500
,717GS2030,GS,       103.55,                   893334.65,8639
,718GS2037,GS,       101.90,                   954109.70,9413
,719GS2060,GS,        99.70,                   301100.00,3000
,71GS2034,GS,       103.55,                    10355.00,100
,723GS2039,GS,       103.85,                     2596.25,25
,724GS2055,GS,       101.45,                   417014.63,4109
,725GS2063,GS,        99.06,                 10519034.20,106257
,726GS2032,GS,       105.60,                   212019.40,1999
,726GS2033,GS,       105.15,                   105150.00,1000
,729IRFC26,NN,      1020.00,                   204012.00,200
,729NHAI26,NC,      1025.00,                   134275.00,131
,732GS2030,GS,       103.70,                   217803.00,2100
,733GS2026,GS,       102.26,                   112486.00,1100
,734GS2064,GS,       100.50,                   363588.15,3613
,736GS2052,GS,       103.90,                    28468.60,274
,737GS2028,GS,       104.35,                   530935.00,5100
,738GS2027,GS,       102.49,                  8084501.69,78876
,738REC27TF,N2,      1048.00,                    10480.00,10
,73GS2053,GS,        99.80,                  6949470.08,69926
,741GS2036,GS,       103.75,                  5062253.35,48851
,743GS2076,GS,       101.66,                   564357.10,5552
,746GS2073,GS,       102.02,                  4194678.90,40964
,74GS2062,GS,       102.50,                     5945.00,58
,751HUDCO28,N5,      1055.79,                    14781.06,14
,753IRFC30,NJ,      1100.10,                     3300.30,3
,753NTPC30E,NC,      1103.18,                   173200.00,157
,754GS2036,GS,       106.13,                 25841607.89,243483
,755GJ31,SG,        99.42,                     9942.00,100
,75GS2034,GS,       105.88,                    46481.32,439
,760PFCL35,N3,      1167.06,                     1167.06,1
,762GS2039,GS,       107.40,                   136536.00,1280
,764HUDCO31,N8,      1093.30,                     1093.30,1
,764NABAR31,N2,      1151.90,                   691249.90,601
,769HUDCO31,N9,      1105.00,                     3285.08,3
,769NHAI31,NE,      1119.00,                   279750.00,250
,76IGT26,ND,      1050.00,                  1036350.00,987
,76NHAI31,NA,      1147.30,                   574080.40,500
,772GS2055,GS,       105.00,                   210203.50,2000
,797IGT31,NL,      1010.00,                   202000.00,200
,79IGT28,NF,      1033.01,                     5165.05,5
,79NHIT35,N1,       313.00,                   125243.10,402
,79NHIT40,N2,       315.00,                   188235.00,601
,79NHIT47,N3,       416.37,                   247326.75,594
,810IRFC27,N2,      1057.00,                  1053957.00,1001
,813GS2045,GS,       113.50,                      113.50,1
,81TCHF28,N8,      1023.00,                    54080.00,53
,820IIFL27,N9,       990.00,                     9900.00,10
,824GS2027,GS,       106.08,                   305557.96,2915
,828GS2027,GS,       150.00,                      300.85,2
,82IGT31,NJ,      1070.10,                   265551.60,248
,830NHAI27,N2,      1059.00,                     2118.00,2
,833GS2026,GS,       100.00,                     6000.00,60
,840CIFCL28,N4,      1060.00,                    20710.00,20
,842IIFL26,NL,       987.50,                   202437.50,205
,843IHFL29,NC,       965.00,                   357457.23,385
,848AEL29,NJ,      1010.00,                    20210.00,20
,84TCHF28,NA,      1023.50,                    82914.51,81
,850CIFCL26,NE,      1015.00,                     1015.00,1
,85IFL26,NX,      1040.00,                   104000.00,100
,860AEL28,NH,      1001.00,                    22013.90,22
,862AEL31,NM,      1005.53,                   380143.00,378
,865IIFL28,NS,       982.99,                   422169.86,430
,865IRFC29,NA,      1156.00,                    63581.00,55
,871REC28,N9,      1091.10,                   254898.60,233
,873NTPC28,N5,      1100.00,                   146288.45,133
,875AEL29,NK,      1003.25,                    58188.50,58
,875NHAI29,N6,      1170.00,                   160290.00,137
,875SFL27,ZF,      1035.00,                    28980.00,28
,876HUDCO28,ND,      1109.00,                    77630.00,70
,885AEL28,NB,      1011.00,                    12132.00,12
,885MOFSL26,N0,      1062.00,                     5310.00,5
,885SCL26,N9,      1007.50,                    15112.50,15
,888ECL28,N1,       975.00,                    43875.00,45
,888IRFC29,NE,      1170.00,                     1170.00,1
,888NHB29,N5,      6000.00,                   240000.00,40
,888REC29,NF,      1152.00,                    24192.00,21
,890AEL31,NN,      1001.06,                   850509.32,849
,891IIFCL34,N4,      1234.00,                   122166.00,99
,891NTPC33,N6,      1230.00,                   123000.00,100
,893NHB29,N6,      5820.00,                   424915.10,73
,895AEL27,N9,      1027.32,                   478578.15,459
,897GS2030,GS,       113.20,                     1132.00,10
,897MOFSL29,N4,      1015.00,                    20395.00,20
,898LTF29,N7,      1050.15,                    82338.65,78
,8SMC29,N1,       505.06,                    44624.20,88
,8SMC30,N2,       505.81,                    51121.28,101
,901HUDCO34,NE,      1242.00,                    62138.10,50
,903SFL28,YI,      1045.00,                   219450.00,210
,910TCAP28,NA,      1064.00,                    20222.30,19
,915APSBC33,N0,    102777.18,                   205554.36,2
,915APSBC34,N0,    102924.19,                  2058483.80,20
,915SCL26,NE,      1007.00,                    24225.00,24
,91D050326,TB,        99.32,                     9932.00,100
,91D060226,TB,        99.90,                    19980.00,200
,91D120226,TB,        99.81,                   388501.00,3900
,91D120326,TB,        99.18,                     9918.00,100
,91D170426,TB,        98.35,                    59053.00,600
,91D190226,TB,        99.62,                    19924.00,200
,91D260226,TB,        99.50,                    29860.00,300
,91D270326,TB,        98.85,                    69207.00,700
,91MOFSL27,N2,      1066.00,                    31980.00,30
,925SCL26B,YQ,       990.00,                     9900.00,10
,925SCL26F,N1,       945.00,                     9450.00,10
,925SCL30A,NH,       900.45,                    53126.55,59
,92GS2030,GS,       116.95,                  2020235.46,17121
,930AEL30,NF,      1053.90,                   133732.10,127
,930APMD34,N0,    104021.64,                   936194.76,9
,930APMD35,N0,    104596.16,                  3137884.80,30
,930SFL28,YP,      1061.00,                     5305.00,5
,931SFL26,Z5,      1045.00,                     3135.00,3
,932AEL27,N3,      1018.77,                   304869.08,303
,935IIFL28,NZ,      1000.00,                   100000.00,100
,943ECL28,NJ,       993.80,                    49690.00,50
,948SCL26A,NN,       310.51,                   323861.93,1043
,950ISF27,N0,     86000.00,                    86000.00,1
,955SCL35,NO,       980.00,                     9800.00,10
,957ICCL25,YW,      1060.00,                    25158.00,24
,957IIFLS27,NA,       990.00,                    99000.00,100
,960IIFL30,Y2,       855.50,                     8555.00,10
,965AEL27,N4,      1050.00,                    25188.00,24
,965SCL25C,N0,       406.00,                     7811.00,20
,965SCL26,YO,      1086.00,                    15204.00,14
,96IIFL28,N5,       992.92,                  2216092.86,2233
,96IIFL28A,NF,       992.99,                  2779219.68,2798
,97SFL28,YS,      1055.31,                   188901.99,179
,985ECL28,NK,      1025.00,                  1335602.35,1303
,99SCL27,ZH,      1050.00,                   141750.00,135
,9AEL30,NE,      1018.00,                    40690.00,40
,9MMFSML,N2,      1057.00,                    36995.00,35
