,31-Aug-2026
The Nifty witnessed an intraday movement of about 135.1 points.The closing index was 0.39 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 181717.85
, Traded Quantity (in Lakhs), 66956.63
, Number of Trades, 40308351
, Total Market Capitalisation (Rs. Crores), 49038698.05

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty Sml250 Q50,     25595.25,     25574.85,     25581.60,     25293.85,     25463.25,-132.00
,Nifty Top 15 EW,      9820.15,      9787.70,      9809.05,      9738.75,      9770.75,-49.40
,Nifty100 Alpha 30,     18535.25,     18438.15,     18442.75,     18131.25,     18152.00,-383.25
,Nifty100 Enh ESG,      5076.85,      5062.65,      5064.35,      5024.55,      5054.55,-22.30
,Nifty200 Value 30,     14866.45,     14817.90,     14822.00,     14668.60,     14816.50,-49.95
,Nifty500 EW,     15147.15,     15125.65,     15128.70,     14972.80,     15070.70,-76.45
,Nifty Multi MQ 50,     42284.75,     42163.95,     42342.20,     41773.80,     42341.05,56.30
,Nifty500 Value 50,     16067.10,     16018.60,     16023.80,     15844.75,     16005.15,-61.95
,Nifty Top 20 EW,      8914.40,      8892.85,      8898.45,      8841.60,      8885.45,-28.95
,Nifty CoreHousing,     15768.75,     15730.05,     15841.80,     15559.20,     15834.05,65.30
,Nifty FinSerExBnk,     32569.55,     32403.65,     32550.15,     32045.60,     32550.15,-19.40
,Nifty Housing,     11926.65,     11898.60,     11904.65,     11789.90,     11872.80,-53.85
,Nifty IPO,      2393.75,      2396.25,      2407.40,      2377.75,      2394.60,0.85
,Nifty MS Fin Serv,     22821.65,     22736.90,     23006.90,     22550.00,     23006.90,185.25
,Nifty MS Ind Cons,     18811.80,     18818.75,     18819.70,     18635.65,     18755.95,-55.85
,Nifty MS IT Telcm,     10405.25,     10410.40,     10412.85,     10245.60,     10314.00,-91.25
,Nifty NonCyc Cons,     15273.50,     15242.70,     15244.50,     15141.20,     15180.10,-93.40
,Nifty Rural,     15403.85,     15356.55,     15360.30,     15253.15,     15253.25,-150.60
,Nifty Shariah 25,      8027.30,      8011.75,      8031.50,      7936.95,      8031.50,4.20
,Nifty Trans Logis,     26493.45,     26441.70,     26463.80,     26274.40,     26360.85,-132.60
,Nifty50 Shariah,      4291.20,      4279.30,      4293.00,      4232.60,      4293.00,1.80
,Nifty500 LMS Eql,     18756.75,     18726.80,     18732.00,     18567.60,     18696.35,-60.40
,Nifty500 Shariah,      7081.40,      7066.15,      7074.90,      6990.10,      7074.35,-7.05
,Nifty500 Qlty50,     19881.90,     19852.25,     19871.40,     19620.50,     19867.70,-14.20
,Nifty500 LowVol50,     22263.50,     22230.65,     22335.75,     22083.80,     22334.05,70.55
,Nifty500 MQVLv50,     30584.15,     30520.15,     30593.80,     30255.45,     30585.80,1.65
,Nifty500 Flexicap,     10181.20,     10166.35,     10168.70,     10045.70,     10130.65,-50.55
,Nifty TMMQ 50,     45108.05,     45017.55,     45304.65,     44632.15,     45298.40,190.35
,Nifty FPI 150,      1574.95,      1570.80,      1571.25,      1559.25,      1568.50,-6.45
,Nifty SME Emerge,     14747.15,     14739.95,     14787.00,     14642.30,     14652.95,-94.20
,Nifty Internet,      1466.80,      1464.00,      1479.65,      1454.75,      1479.45,12.65
,Nifty Chemicals,     30190.75,     30145.30,     30162.55,     29870.20,     30028.80,-161.95
,Nifty Waves,      1921.50,      1918.85,      1919.30,      1878.20,      1887.40,-34.10
,Nifty InfraLog,     12104.50,     12088.10,     12088.90,     11954.30,     11990.65,-113.85
,Nifty500 Health,     21855.90,     21863.00,     21945.75,     21652.90,     21938.15,82.25
,Nifty RailwaysPSU,      2801.30,      2794.65,      2795.40,      2767.15,      2779.60,-21.70
,NiftyConglomerate,     15425.00,     15377.10,     15381.95,     15190.80,     15259.00,-166.00
,Nifty MidSmall 50 50,     21157.45,     21134.40,     21140.55,     20918.70,     21099.90,-57.55
,Nifty Cement,     14820.55,     14795.60,     14799.00,     14629.35,     14678.90,-141.65
,Nifty Smallcap 500,     21100.35,     21099.45,     21104.45,     20868.75,     21021.70,-78.65
,Nifty REITs Realty,      1946.10,      1946.65,      1946.65,      1925.80,      1941.00,-5.10
,India VIX,10.6800,10.6800,11.4400,10.6800,11.1900,0.5100

,ADVANCES,1434
,DECLINES,2331
,UNCHANGED,78

,Total securities that have hit their price bands today,354

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,ETERNAL,EQ,       328.00,       328.10,0.03,8897.99
,LENSKART,EQ,       636.15,       662.40,4.13,7387.44
,LAURUSLABS,EQ,      1938.50,      1915.00,-1.21,5918.95
,HDFCBANK,EQ,       720.30,       709.00,-1.57,5634.41
,ADANIENSOL,EQ,      1581.40,      1417.40,-10.37,5147.93
,GROWW,EQ,       191.46,       192.06,0.31,4525.72
,RELIANCE,EQ,      1287.00,      1277.00,-0.78,4458.03
,ADANIENT,EQ,      3168.50,      2859.10,-9.76,3756.18
,ATHERENERG,EQ,      1616.30,      1717.70,6.27,3313.89
,BHARTIARTL,EQ,      1882.40,      1811.90,-3.75,3126.44
,BALRAMCHIN,EQ,       654.85,       693.50,5.90,2823.25
,BALKRISIND,EQ,      2340.10,      2279.20,-2.60,2209.81
,ICICIBANK,EQ,      1422.80,      1454.00,2.19,2201.40
,BSE,EQ,      3405.00,      3282.00,-3.61,2019.97
,ASTRAL,EQ,      1532.30,      1522.20,-0.66,1760.64
,SBICARD,EQ,       641.05,       644.75,0.58,1701.06
,AUGMONT,EQ,       788.00,       908.15,15.25,1685.91
,ADANIPORTS,EQ,      1707.50,      1593.10,-6.70,1559.37
,ASHOKA,EQ,       112.65,       120.29,6.78,1229.06
,M&M,EQ,      3334.00,      3282.00,-1.56,1196.92
,ADANIPOWER,EQ,       212.63,       198.00,-6.88,1094.52
,ZEEL,EQ,       101.51,        93.58,-7.81,1012.30
,INFY,EQ,      1144.00,      1133.80,-0.89,990.93
,MCX,EQ,      3332.00,      3400.00,2.04,938.13
,VAML,EQ,       456.15,       435.15,-4.60,805.70

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,      1984.80,      1920.00,3.37
,NESTLEIND,EQ,      1496.50,      1454.60,2.88
,AXISBANK,EQ,      1300.00,      1265.00,2.77
,MAXHEALTH,EQ,      1042.10,      1014.10,2.76
,GRASIM,EQ,      3371.00,      3290.00,2.46

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ADANIENT,EQ,      2859.10,      3168.50,-9.76
,ADANIPORTS,EQ,      1593.10,      1707.50,-6.70
,ITC,EQ,       255.50,       266.00,-3.95
,BHARTIARTL,EQ,      1811.90,      1882.40,-3.75
,TMPV,EQ,       308.85,       319.40,-3.30

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE,TRADED QUANTITY
,1003ISFL28,N4,      1010.60,                   446688.88,442
,1015ECL29,NR,      1017.95,                  1822906.03,1798
,1018GS2026,GS,       104.50,                     8460.24,81
,1025IIFL30,Y3,      1038.50,                   103850.00,100
,1025UCL27A,NG,      1000.00,                     4000.00,4
,1025VCCL28,N0,     96500.00,                    96500.00,1
,1050ISFL28,N5,      1067.00,                    21340.00,20
,105IIFL29,N7,      1070.00,                   139042.60,130
,1075SCL33A,N2,       890.00,                    35600.00,40
,1075SCL34,ZR,      1060.00,                    10600.00,10
,1075WCA28,N0,      9639.71,                   205601.45,22
,10IIFL28,N4,      1003.00,                   200800.00,200
,10IIFL29,N6,      1025.00,                    15375.00,15
,10ISFL26,N3,      1060.00,                    10616.00,10
,1119NFL27,ND,      1054.80,                   109699.20,104
,1125AFIL29,N0,      9885.00,                   553560.00,56
,1165ESFB32,N0,     99001.00,                   396004.00,4
,1225IFL28,N0,      7351.00,                    22351.00,3
,125VCCL31,N0,     97700.00,                    97700.00,1
,12AFIL27,N0,      9900.00,                    85380.00,10
,12AFIL28,N0,     10038.77,                    60232.62,6
,12VCCL27,N0,     99500.00,                   199000.00,2
,12VCCL29A,N0,     98933.80,                   197867.60,2
,12VCCL29B,N0,     99998.99,                   197998.99,2
,182D140127,TB,        97.50,                    58416.00,600
,182D260227,TB,        97.00,                     9700.00,100
,20MICRONS,EQ,       218.03,                 38119457.09,172302
,21STCENMGM,EQ,        40.34,                   117233.68,2905
,360ONE,EQ,      1175.00,               1656557997.40,1412706
,364D030926,TB,        99.70,                 12465290.00,125000
