,26-May-2026
The Nifty witnessed an intraday movement of about 204.35 points.The closing index was 0.49 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 127513.37
, Traded Quantity (in Lakhs), 52480.56
, Number of Trades, 35596118
, Total Market Capitalisation (Rs. Crores), 46915279.91

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty500 LowVol50,     22224.75,     22246.30,     22312.55,     22141.30,     22170.80,-53.95
,Nifty500 MQVLv50,     31158.55,     31209.35,     31306.30,     31063.00,     31134.05,-24.50
,Nifty500 Flexicap,      9734.75,      9743.90,      9769.70,      9714.45,      9740.75,6.00
,Nifty TMMQ 50,     44709.35,     44761.10,     45005.70,     44689.75,     44882.30,172.95
,Nifty FPI 150,      1549.40,      1548.65,      1553.65,      1543.75,      1546.50,-2.90
,Nifty SME Emerge,     13778.05,     13788.90,     13827.25,     13755.50,     13762.25,-15.80
,Nifty Internet,      1218.85,      1220.80,      1237.10,      1219.30,      1227.50,8.65
,Nifty Chemicals,     29624.50,     29677.90,     29877.85,     29644.85,     29745.20,120.70
,Nifty Waves,      1914.85,      1923.05,      1928.45,      1903.75,      1907.15,-7.70
,Nifty InfraLog,     12149.60,     12149.20,     12196.95,     12108.50,     12152.75,3.15
,Nifty500 Health,     20223.70,     20217.60,     20287.55,     20125.60,     20178.95,-44.75
,Nifty RailwaysPSU,      3132.25,      3101.05,      3101.10,      3053.50,      3057.20,-75.05
,NiftyConglomerate,     14759.95,     14756.45,     14829.20,     14720.00,     14755.10,-4.85
,Nifty MidSmall 50 50,     19915.75,     19938.75,     20061.80,     19909.35,     19979.85,64.10
,Nifty Cement,     15241.80,     15239.55,     15291.90,     15103.55,     15174.15,-67.65
,Nifty Smallcap 500,     19247.80,     19280.45,     19448.05,     19268.25,     19311.90,64.10
,Nifty REITs Realty,      1791.25,      1793.00,      1794.25,      1782.85,      1789.05,-2.20
,India VIX,16.7025,16.7025,16.9600,15.3625,16.1325,-0.5700

,ADVANCES,1761
,DECLINES,1799
,UNCHANGED,114

,Total securities that have hit their price bands today,247

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,APOLLO,EQ,       408.20,       412.10,0.96,2808.55
,HDFCBANK,EQ,       786.85,       778.90,-1.01,2471.35
,ICICIBANK,EQ,      1291.80,      1279.10,-0.98,2369.18
,ADANIPOWER,EQ,       233.38,       244.53,4.78,2214.35
,ATGL,EQ,       659.15,       713.10,8.18,2066.06
,RELIANCE,EQ,      1367.00,      1356.30,-0.78,1871.61
,POWERINDIA,EQ,     35635.00,     35995.00,1.01,1808.38
,BSE,EQ,      4291.20,      4403.30,2.61,1644.91
