,25-Aug-2026
The Nifty witnessed an intraday movement of about 219.1 points.The closing index was 0.48 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 106655.03
, Traded Quantity (in Lakhs), 60579.45
, Number of Trades, 34295670
, Total Market Capitalisation (Rs. Crores), 49301661.28

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NiftyMS400 MQ 100,     52020.30,     51990.85,     52131.30,     51788.70,     52124.75,104.45
,NiftySml250MQ 100,     48866.00,     48847.45,     48905.35,     48606.15,     48792.30,-73.70
,Nifty Top 10 EW,      8604.65,      8592.35,      8645.45,      8572.85,      8645.45,40.80
,Nifty AQL 30,     22919.75,     22909.20,     23030.95,     22806.40,     23030.95,111.20
,Nifty AQLV 30,     20239.80,     20221.95,     20247.00,     20093.95,     20247.00,7.20
,Nifty EV,      3329.40,      3324.25,      3332.45,      3306.35,      3331.55,2.15
,Nifty HighBeta 50,      4540.00,      4522.90,      4583.15,      4510.00,      4582.15,42.15
,Nifty New Consump,     12251.40,     12245.70,     12368.95,     12213.35,     12368.05,116.65
,Nifty Corp MAATR,     39241.90,     39217.25,     39573.60,     39053.55,     39563.55,321.65
,Nifty Low Vol 50,     24672.75,     24640.05,     24719.65,     24521.80,     24718.15,45.40
,Nifty Mobility,     23763.45,     23745.00,     23923.45,     23657.25,     23917.10,153.65
,Nifty Qlty LV 30,     16662.60,     16647.95,     16713.60,     16571.95,     16713.60,51.00
,Nifty Sml250 Q50,     25525.40,     25532.45,     25545.95,     25382.50,     25486.75,-38.65
,Nifty Top 15 EW,      9820.45,      9806.65,      9870.45,      9780.10,      9870.45,50.00
,Nifty100 Alpha 30,     18441.90,     18405.05,     18552.50,     18303.50,     18552.50,110.60
,Nifty100 Enh ESG,      5082.05,      5076.40,      5112.70,      5061.25,      5112.70,30.65
,Nifty200 Value 30,     14927.25,     14912.90,     14953.55,     14834.15,     14953.55,26.30
,Nifty500 EW,     15111.65,     15113.45,     15134.05,     15057.35,     15129.10,17.45
,Nifty Multi MQ 50,     42076.15,     42030.10,     42134.75,     41823.20,     42131.95,55.80
,Nifty500 Value 50,     16085.65,     16077.75,     16102.05,     15993.10,     16102.05,16.40
,Nifty Top 20 EW,      8915.60,      8907.90,      8960.50,      8878.25,      8960.50,44.90
,Nifty CoreHousing,     15813.85,     15790.80,     15887.65,     15719.10,     15885.90,72.05
,Nifty FinSerExBnk,     32605.10,     32610.95,     32897.45,     32487.95,     32897.45,292.35
,Nifty Housing,     11949.10,     11925.15,     11994.05,     11887.15,     11993.20,44.10
,Nifty IPO,      2396.20,      2397.00,      2404.95,      2389.85,      2402.15,5.95
,Nifty MS Fin Serv,     22897.70,     22918.20,     22998.35,     22843.55,     22997.65,99.95
,Nifty MS Ind Cons,     18967.00,     18935.00,     19086.25,     18856.20,     19082.45,115.45
,Nifty MS IT Telcm,     10061.75,     10075.55,     10195.40,     10053.70,     10194.95,133.20
,Nifty NonCyc Cons,     15424.70,     15409.60,     15521.65,     15357.20,     15521.40,96.70
,Nifty Rural,     15536.40,     15513.80,     15629.95,     15465.60,     15627.60,91.20
,Nifty Shariah 25,      8013.20,      8012.65,      8016.35,      7942.90,      8016.35,3.15
,Nifty Trans Logis,     26586.45,     26575.05,     26764.65,     26467.50,     26758.25,171.80
,Nifty50 Shariah,      4279.45,      4281.45,      4294.25,      4247.95,      4294.25,14.80
,Nifty500 LMS Eql,     18700.05,     18688.80,     18753.30,     18636.65,     18749.90,49.85
,Nifty500 Shariah,      7042.95,      7040.95,      7059.55,      7004.05,      7058.35,15.40
,Nifty500 Qlty50,     19747.60,     19749.15,     19821.60,     19630.45,     19818.30,70.70
