,16-Sep-2026
The Nifty witnessed an intraday movement of about 168.65 points.The closing index was 0.43 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 110767.64
, Traded Quantity (in Lakhs), 48405.95
, Number of Trades, 43673752
, Total Market Capitalisation (Rs. Crores), 47229058.96

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty Corp MAATR,     37156.90,     37292.70,     37539.45,     37148.30,     37247.15,90.25
,Nifty Low Vol 50,     23474.15,     23549.40,     23673.30,     23457.75,     23577.20,103.05
,Nifty Mobility,     22293.25,     22317.85,     22479.80,     22148.00,     22346.30,53.05
,Nifty Qlty LV 30,     15913.70,     15950.70,     16064.10,     15903.85,     16002.10,88.40
,Nifty Sml250 Q50,     24701.55,     24694.65,     24777.80,     24288.30,     24654.20,-47.35
,Nifty Top 15 EW,      9340.30,      9380.45,      9417.05,      9352.00,      9371.90,31.60
,Nifty100 Alpha 30,     17240.20,     17256.05,     17412.55,     17158.45,     17332.05,91.85
,Nifty100 Enh ESG,      4822.55,      4834.65,      4855.80,      4812.50,      4839.05,16.50
,Nifty200 Value 30,     14366.25,     14401.00,     14500.75,     14323.85,     14459.70,93.45
,Nifty500 EW,     14497.90,     14509.10,     14534.40,     14284.60,     14493.80,-4.10
,Nifty Multi MQ 50,     40080.90,     40071.85,     40252.75,     39439.10,     40147.70,66.80
,Nifty500 Value 50,     15501.65,     15529.10,     15621.05,     15410.20,     15579.60,77.95
,Nifty Top 20 EW,      8499.85,      8535.85,      8565.55,      8501.85,      8529.90,30.05
,Nifty CoreHousing,     14506.00,     14516.80,     14640.00,     14431.60,     14552.90,46.90
,Nifty FinSerExBnk,     30769.30,     30871.70,     31035.75,     30564.60,     30870.50,101.20
,Nifty Housing,     11300.60,     11316.90,     11374.90,     11248.95,     11330.55,29.95
,Nifty IPO,      2396.00,      2394.15,      2397.35,      2331.50,      2376.10,-19.90
,Nifty MS Fin Serv,     22066.80,     22174.65,     22278.30,     21882.10,     22185.90,119.10
,Nifty MS Ind Cons,     17847.05,     17853.80,     17968.50,     17708.75,     17860.15,13.10
,Nifty MS IT Telcm,      9840.60,      9854.55,      9864.35,      9672.50,      9737.25,-103.35
,Nifty NonCyc Cons,     14562.50,     14597.50,     14716.40,     14530.35,     14667.80,105.30
,Nifty Rural,     14561.55,     14594.75,     14695.10,     14550.75,     14659.25,97.70
,Nifty Shariah 25,      7597.90,      7616.30,      7661.75,      7575.90,      7594.60,-3.30
,Nifty Trans Logis,     24805.00,     24830.05,     25023.15,     24649.20,     24878.70,73.70
,Nifty50 Shariah,      4083.00,      4099.00,      4118.90,      4071.75,      4076.70,-6.30
,Nifty500 LMS Eql,     17964.70,     17986.75,     18031.35,     17759.20,     17979.10,14.40
,Nifty500 Shariah,      6710.95,      6719.20,      6743.10,      6651.60,      6705.35,-5.60
,Nifty500 Qlty50,     18898.70,     18912.25,     18945.75,     18675.00,     18829.05,-69.65
,Nifty500 LowVol50,     21350.00,     21396.00,     21499.25,     21288.15,     21398.45,48.45
,Nifty500 MQVLv50,     29502.35,     29543.50,     29733.70,     29346.35,     29682.55,180.20
,Nifty500 Flexicap,      9571.50,      9579.35,      9644.80,      9504.75,      9576.95,5.45
,Nifty TMMQ 50,     43001.55,     42988.10,     43149.30,     42356.30,     43029.90,28.35
,Nifty FPI 150,      1501.25,      1505.55,      1510.90,      1496.15,      1505.10,3.85
,Nifty SME Emerge,     14864.15,     14859.45,     14872.15,     14547.30,     14748.50,-115.65
,Nifty Internet,      1441.40,      1452.70,      1457.25,      1419.65,      1446.60,5.20
,Nifty Chemicals,     28762.15,     28769.70,     28895.25,     28347.25,     28752.70,-9.45
,Nifty Waves,      1843.70,      1847.10,      1857.70,      1824.30,      1843.05,-0.65
,Nifty InfraLog,     11499.00,     11508.70,     11537.05,     11371.95,     11487.10,-11.90
,Nifty500 Health,     21358.10,     21363.85,     21444.70,     21052.25,     21291.55,-66.55
,Nifty RailwaysPSU,      2637.10,      2640.30,      2645.85,      2601.65,      2633.20,-3.90
,NiftyConglomerate,     14575.05,     14610.65,     14665.55,     14506.35,     14567.90,-7.15
,Nifty MidSmall 50 50,     20295.20,     20304.55,     20347.45,     19968.80,     20282.75,-12.45
,Nifty Cement,     13806.20,     13848.65,     13923.60,     13768.70,     13830.70,24.50
,Nifty Smallcap 500,     20464.55,     20445.40,     20477.75,     20018.30,     20432.10,-32.45
,Nifty REITs Realty,      1859.75,      1858.35,      1873.60,      1849.10,      1869.85,10.10
,India VIX,13.4325,13.4325,13.5825,12.8650,13.1675,-0.2650

,ADVANCES,1764
,DECLINES,1993
,UNCHANGED,106

,Total securities that have hit their price bands today,354

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,GROWW,EQ,       197.59,       189.76,-3.96,2829.44
,PAYTM,EQ,      1730.00,      1790.00,3.47,2742.95
,PINELABS,EQ,       193.80,       185.71,-4.17,2072.41
,EMUDHRA,EQ,       592.85,       642.30,8.34,1982.75
,HDFCBANK,EQ,       716.55,       721.50,0.69,1974.39
,TATACHEM,EQ,       734.90,       731.80,-0.42,1896.23
,KANOHAR,EQ,       632.00,       751.50,18.91,1591.68
,ICICIBANK,EQ,      1350.40,      1358.80,0.62,1302.79
,RELIANCE,EQ,      1235.30,      1240.00,0.38,1252.68
,RAYMOND,EQ,       995.95,       993.90,-0.21,1245.37
,GLASSWALL,EQ,       182.00,       214.85,18.05,1053.61
,MOLBIO,EQ,      1356.80,      1307.00,-3.67,1043.99
,PATANJALI,EQ,       338.55,       365.00,7.81,1025.59
,SOLARINDS,EQ,     19250.00,     18900.00,-1.82,988.69
,BSE,EQ,      3310.00,      3240.00,-2.11,942.12
,DHOOTTRANS,EQ,      1555.90,      1590.90,2.25,917.37
,IFCI,EQ,        76.95,        75.06,-2.46,854.76
,SBIN,EQ,       968.00,       991.40,2.42,848.00
,NETWEB,EQ,      4614.00,      4562.00,-1.13,797.57
,DIVISLAB,EQ,      9198.00,      9158.00,-0.43,797.48
,LT,EQ,      3850.70,      3807.70,-1.12,779.70
,M&M,EQ,      3029.50,      3070.00,1.34,736.78
,AXISBANK,EQ,      1222.90,      1241.00,1.48,721.20
,DIXON,EQ,     13180.00,     13181.00,0.01,708.93
,SHRIRAMFIN,EQ,       979.80,       979.00,-0.08,706.68

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFCLIFE,EQ,       530.20,       516.10,2.73
,SBILIFE,EQ,      1697.90,      1654.10,2.65
,SBIN,EQ,       991.40,       968.00,2.42
,ITC,EQ,       264.15,       258.00,2.38
,NESTLEIND,EQ,      1384.50,      1362.00,1.65

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TCS,EQ,      2188.80,      2251.00,-2.76
,WIPRO,EQ,       166.89,       170.00,-1.83
,INFY,EQ,      1060.00,      1077.00,-1.58
,TECHM,EQ,      1558.00,      1575.90,-1.14
,LT,EQ,      3807.70,      3850.70,-1.12

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE,TRADED QUANTITY
,0MOFSL27,N3,      1228.53,                    17199.46,14
,1003SCL30A,NV,       740.00,                     4440.00,6
,1015ECL29,NR,      1018.70,                    92466.20,91
,1015SCL28A,AL,       457.00,                     2742.00,6
,1015SCL29,ZL,      1026.75,                   149176.50,146
,1025SCL34B,N1,      1000.00,                     3000.00,3
,1025SCL35A,N1,      1000.00,                   264000.00,264
,1025UCL26A,N1,       999.70,                     9997.00,10
,1025UCL27A,NG,      1000.43,                   545365.00,545
,1030SFIL28,NM,       550.00,                    31900.00,58
,1039UCL26,NE,      1049.00,                    72592.00,70
,105IIFL29,N7,      1198.00,                   107820.00,90
,1060ECL29,NS,      1075.00,                   211970.00,198
,1065NFL27,NC,      1015.00,                   116746.00,115
,1075SCL33,YK,      1080.50,                    88601.00,82
,1075SCL33A,N2,       860.00,                      860.00,1
,10IIFL28,N4,      1003.00,                   133390.74,133
,10IIFL28A,NE,      1048.97,                   218829.25,210
,10IIFL29,N6,      1020.00,                   162210.00,159
,10MWL29,N0,    100070.00,                   300210.00,3
,10UCL26,ND,       997.05,                     9970.50,10
,111ESFB31,N0,     97141.28,                   194282.56,2
,115AFIL28A,N0,      9909.42,                   118873.26,12
,115VCCL28A,N0,     95600.00,                   478000.00,5
,11MCS27,N0,     10010.00,                   270230.00,27
