Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
01-JUN-2026,506313,322.25,322.25,0.0000,0.0098,0.0097,0.1853
01-JUN-2026,506365,120.00,114.95,0.0430,0.0390,0.0390,0.7451
01-JUN-2026,506373,122.25,121.07,0.0097,0.0253,0.0252,0.4814
01-JUN-2026,506520,6.80,6.76,0.0059,0.0283,0.0282,0.5388
01-JUN-2026,506528,5060.95,4891.30,0.0341,0.0280,0.0280,0.5349
01-JUN-2026,506530,1006.85,1006.85,0.0000,0.0242,0.0242,0.4623
01-JUN-2026,506543,10.05,9.58,0.0479,0.0345,0.0346,0.6610
01-JUN-2026,506579,112.00,104.40,0.0703,0.0339,0.0342,0.6534
01-JUN-2026,506597,543.20,550.25,-0.0129,0.0368,0.0367,0.7012
01-JUN-2026,506605,2009.80,2045.00,-0.0174,0.0305,0.0304,0.5808
01-JUN-2026,506640,140.00,144.00,-0.0282,0.0400,0.0400,0.7642
01-JUN-2026,506734,103.79,99.33,0.0439,0.0247,0.0248,0.4738
01-JUN-2026,506808,54.00,54.24,-0.0044,0.0300,0.0299,0.5712
01-JUN-2026,506854,2062.50,2037.35,0.0123,0.0301,0.0301,0.5751
01-JUN-2026,506858,57.00,59.59,-0.0444,0.0286,0.0287,0.5483
01-JUN-2026,506863,92.30,94.15,-0.0198,0.0247,0.0247,0.4719
01-JUN-2026,506867,31.08,31.08,0.0000,0.0010,0.0010,0.0191
01-JUN-2026,506906,46.90,48.11,-0.0255,0.0472,0.0471,0.8998
01-JUN-2026,506919,162.30,163.75,-0.0089,0.0359,0.0358,0.6840
01-JUN-2026,506935,69.44,66.50,0.0433,0.0259,0.0260,0.4967
01-JUN-2026,506945,2.59,2.59,0.0000,0.0065,0.0065,0.1242
01-JUN-2026,506947,305.45,305.45,0.0000,0.0288,0.0288,0.5502
01-JUN-2026,506975,7.71,7.71,0.0000,0.0292,0.0291,0.5560
01-JUN-2026,506979,133.00,140.00,-0.0513,0.0327,0.0328,0.6266
01-JUN-2026,506981,120.35,120.35,0.0000,0.0300,0.0300,0.5731
01-JUN-2026,507155,133.85,137.50,-0.0269,0.0278,0.0278,0.5311
01-JUN-2026,507180,6.02,6.19,-0.0278,0.0401,0.0400,0.7642
01-JUN-2026,507265,180.00,190.00,-0.0541,0.0334,0.0335,0.6400
01-JUN-2026,507300,988.10,988.10,0.0000,0.0264,0.0263,0.5025
01-JUN-2026,507474,41.75,40.07,0.0411,0.0310,0.0311,0.5942
01-JUN-2026,507486,49.04,49.04,0.0000,0.0337,0.0336,0.6419
01-JUN-2026,507498,38.04,38.11,-0.0018,0.0275,0.0275,0.5254
01-JUN-2026,507515,19.42,18.50,0.0485,0.0353,0.0354,0.6763
01-JUN-2026,507530,26.81,26.81,0.0000,0.0082,0.0082,0.1567
01-JUN-2026,507598,104.80,103.95,0.0081,0.0297,0.0296,0.5655
01-JUN-2026,507609,21.70,21.70,0.0000,0.0314,0.0313,0.5980
01-JUN-2026,507621,69.37,66.74,0.0387,0.0246,0.0247,0.4719
01-JUN-2026,507645,11500.00,11500.00,0.0000,0.0217,0.0217,0.4146
