Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
PHANTOMFX,SM,115,-0.82,183.11,0.23,0.27
CONSUMIETF,EQ,120,0.03,54.69,0.23,0.27
DOLLEX,SM,39.6,3.94,158.2,0.68,0.27
SELECTIPO,EQ,48.66,-0.45,23.76,0.55,0.27
PARIN,SM,720,2.08,800.5,0.04,0.27
SGBMR29XII,GB,15160,0.62,4898.06,0,0.27
NILE,EQ,1473.5,0.12,442.33,0.02,0.27
LORDSCHLO,EQ,140,1.28,401.15,0.19,0.27
SCANSTL,BE,56.5,-3.27,331.1,0.47,0.26
DIAMINESQ,EQ,254,3.64,255.36,0.11,0.26
MKEXIM,EQ,66,3.11,266.42,0.41,0.26
GROWWMOM50,EQ,11.14,0.81,30.59,2.37,0.26
BPLPHARMA,EQ,1550,-1.2,1068.25,0.02,0.26
VIGOR,SM,117,1.25,121.11,0.22,0.26
TECHLABS,SM,127.7,4.97,220.68,0.21,0.26
JETFREIGHT,EQ,20.11,-0.64,93.32,1.29,0.26
KSE,EQ,178,-0.53,569.6,0.15,0.26
S&SPOWER,EQ,341,-2.77,420.85,0.07,0.26
CINELINE,EQ,94.01,-1.45,322.14,0.27,0.25
BORANA,EQ,318,-0.61,847.32,0.08,0.25
JITFINFRA,EQ,304.05,-0.8,781.52,0.08,0.25
MANORG,EQ,477,-3.98,408.52,0.05,0.25
UNIHEALTH,SM,720,0.4,1144.8,0.04,0.25
TRITONV,EQ,1135,0.92,581.36,0.02,0.25
TRANSPEK,BE,1359.9,-0.77,759.58,0.02,0.25
PLASTIBLEN,EQ,187.5,-1.95,487.3,0.13,0.25
DISHTV,EQ,2.5,-1.57,460.31,9.98,0.25
SUNRAKSHAK,EQ,374,0.07,1159.65,0.07,0.25
MNC,EQ,33.1,-0.03,46.19,0.76,0.25
UNITEDTEA,EQ,438,-0.87,218.85,0.06,0.25
BAJAJST,EQ,370,1.37,769.6,0.07,0.25
AERONEU,EQ,70.64,-4.71,182.22,0.34,0.25
GCHOTELS,ST,99.4,0.25,247.7,0.25,0.25
GRPLTD,EQ,2039,1.88,1087.47,0.01,0.25
SINGERIND,EQ,74.88,-1.15,465.9,0.33,0.25
SCML,SM,75.7,-5.26,109.74,0.32,0.24
RAPPID,SM,308.2,1.47,160.02,0.08,0.24
EMMIL,SM,125,6.75,141.58,0.2,0.24
JPOLYINVST,EQ,989.1,-0.54,1039.73,0.02,0.24
364D100627,TB,94.83,-0.94,8060.55,0.26,0.24
734GS2064,GS,98.78,-0.13,236084.2,0.25,0.24
PAR,BE,134.37,-5,165.34,0.18,0.24
SANDESH,EQ,1024,-2.58,775.11,0.02,0.24
STERTOOLS,BE,219,0.15,795.94,0.11,0.24
STEL,EQ,590,-1.9,1088.87,0.04,0.24
BLAL,EQ,160.5,-0.88,668.39,0.15,0.24
INFINIUM,SM,285.5,2.9,444.9,0.09,0.24
SICAGEN,EQ,57.35,-0.85,226.94,0.43,0.24
SADBHAV,EQ,8.35,4.51,143.26,2.86,0.24
ALLETEC,SM,127.8,-7.42,258.08,0.18,0.24
INDOTHAI,EQ,41.37,5,536.23,0.57,0.23
CLASSICEIL,SM,58.8,5,105.63,0.4,0.23
DECCANCE,EQ,565.1,-0.47,791.56,0.04,0.23
MOKSH,EQ,10.23,2.3,90.28,2.24,0.23
VISHWARAJ,EQ,5.68,-3.07,123.73,4.06,0.23
SPECIALITY,BE,135,0.91,651.18,0.17,0.23
VILINBIO,SM,56.8,-4.94,86.62,0.4,0.23
WORTHPERI,EQ,150.05,-3.19,236.34,0.15,0.23
MAFATIND,EQ,121.27,0.59,875.13,0.19,0.23
SAHAJSOLAR,SM,94.05,-0.27,206.65,0.24,0.23
IL&FSENGG,BZ,37.8,5,495.64,0.61,0.23
MARALOVER,EQ,64,-2.78,265.65,0.35,0.23
ECAPINSURE,EQ,23.7,-0.13,15.18,0.97,0.23
FONEBOX,SM,113.4,5,116.35,0.2,0.23
SGBFEB28IX,GB,15164.99,0.43,615.63,0,0.23
NINSYS,EQ,711.9,0.39,1322.43,0.03,0.23
DENEERS,SM,170.85,-2.09,151.14,0.13,0.22
ELCIDIN,EQ,108000,1.41,2160,0,0.22
9IIFL28A,NT,1041.05,0.1,123.82,0.02,0.22
KCPSUGIND,BE,31.94,0.35,362.15,0.71,0.22
FCSSOFT,EQ,1.42,0,242.76,15.8,0.22
BRANDMAN,SM,171.3,-0.61,316.17,0.13,0.22
ESSENTIA,EQ,1.07,1.9,187.82,21.1,0.22
SGBJAN29X,GB,15200,0.64,1845.35,0,0.22
HPAL,EQ,35.25,-0.48,323.86,0.62,0.22
KONSTELEC,ST,62.15,0.24,93.85,0.34,0.22
PRITIKAUTO,BE,15.05,-0.66,250.6,1.46,0.22
KDL,SM,88.2,-2.81,106.05,0.25,0.22
LYKALABS,BE,83.14,2,300.57,0.26,0.22
NATCAPSUQ,BE,195.97,-0.11,204.03,0.11,0.22
AONETOTAL,EQ,11.79,-0.17,43.09,1.84,0.22
NIFTYJBLK,EQ,12.05,-0.74,78.4,1.79,0.22
AMEYA,SM,114,1.33,85.5,0.19,0.22
769NHAI31,NE,1158.9,0.38,1306.85,0.02,0.22
RAPIDFLEET,SM,237,0.13,176.2,0.09,0.21
HOACFOODS,ST,950.8,-2,412.69,0.02,0.21
BIOPOL,SM,44.95,-4.97,48.57,0.47,0.21
TBI,SM,72,5.42,130.74,0.3,0.21
USHAFIN,SM,50,-6.98,217.38,0.45,0.21
HDFCGROWTH,EQ,115.96,-1.17,18.13,0.18,0.21
AEPL,EQ,17.39,-3.98,436.55,1.23,0.21
PRLIND,SM,42.15,-1.06,96.37,0.5,0.21
NAHARINDUS,EQ,133.35,-2.97,576.15,0.16,0.21
SHEETAL,SM,349.9,-0.03,400.85,0.06,0.21
