"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"APCOTEXIND","Apcotex Industries Limited","EQ"," Interim Dividend - Rs 1.50 Per Share","2","11-Feb-2021","12-Feb-2021","-","-"
"360ONE","360 ONE WAM LIMITED","EQ"," Interim Dividend - Rs 30 Per Share","1","11-Feb-2021","12-Feb-2021","-","-"
"CARBORUNIV","Carborundum Universal Limited","EQ"," Interim Dividend - Rs 1.50 Per Share","1","11-Feb-2021","12-Feb-2021","-","-"
"BALRAMCHIN","Balrampur Chini Mills Limited","EQ"," Interim Dividend - Rs 2.50 Per Share","1","11-Feb-2021","12-Feb-2021","-","-"
"DHAMPURSUG","Dhampur Sugar Mills Limited","EQ"," Interim Dividend - Rs 6 Per Share","10","11-Feb-2021","12-Feb-2021","-","-"
"BLS","BLS International Services Limited","EQ"," Interim Dividend - Rs 0.25 Per Share","1","11-Feb-2021","12-Feb-2021","-","-"
"GILLETTE","Gillette India Limited","EQ"," Interim Dividend - Rs 33 Per Share","10","11-Feb-2021","12-Feb-2021","-","-"
"CONTROLPR","Control Print Limited","EQ"," Interim Dividend - Rs 4 Per Share","10","11-Feb-2021","12-Feb-2021","-","-"
"BAJAJCON","Bajaj Consumer Care Limited","EQ"," Interim Dividend - Rs 6 Per Share","1","11-Feb-2021","13-Feb-2021","-","-"
"824GS2027","GOVERNMENT OF INDIA","GS"," Interest Payment","100","11-Feb-2021","12-Feb-2021","-","-"
"828GS2032","GOVERNMENT OF INDIA","GS"," Interest Payment","100","11-Feb-2021","12-Feb-2021","-","-"
"82GS2022","GOVERNMENT OF INDIA","GS"," Interest Payment","100","11-Feb-2021","12-Feb-2021","-","-"
"EQUITAS","Equitas Holdings Limited","EQ"," Interim Dividend - Rs 2 Per Share","10","11-Feb-2021","13-Feb-2021","-","-"
"NTPC","NTPC Limited","EQ"," Interim Dividend - Rs 3 Per Share","10","11-Feb-2021","12-Feb-2021","-","-"
"HIL","HIL Limited","EQ"," Interim Dividend - Rs 15 Per Share","10","11-Feb-2021","12-Feb-2021","-","-"
"PIIND","PI Industries Limited","EQ"," Interim Dividend - Rs 3 Per Share","1","11-Feb-2021","12-Feb-2021","-","-"
"PNBGILTS","PNB Gilts Limited","EQ"," Interim Dividend - Rs 4 Per Share","10","11-Feb-2021","12-Feb-2021","-","-"
"CASTEXTECH","Castex Technologies Limited","EQ"," Annual General Meeting","2","11-Feb-2021","-","13-Feb-2021","19-Feb-2021"
"ALKEM","Alkem Laboratories Limited","EQ"," Interim Dividend - Rs 25 Per Share","2","11-Feb-2021","13-Feb-2021","-","-"
"ALKYLAMINE","Alkyl Amines Chemicals Limited","EQ"," Interim Dividend - Rs 10 Per Share","2","12-Feb-2021","15-Feb-2021","-","-"
"GEEKAYWIRE","Geekay Wires Limited","EQ"," Extra Ordinary General Meeting","2","12-Feb-2021","-","16-Feb-2021","22-Feb-2021"
"BASML","Bannari Amman Spinning Mills Limited","EQ"," Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share","5","12-Feb-2021","15-Feb-2021","-","-"
"CANTABIL","Cantabil Retail India Limited","EQ"," Interim Dividend","2","12-Feb-2021","15-Feb-2021","-","-"
"SILLYMONKS","Silly Monks Entertainment Limited","EQ"," Interim Dividend - Rs 0.50 Per Share","10","15-Feb-2021","16-Feb-2021","-","-"
"BALKRISIND","Balkrishna Industries Limited","EQ"," Interim Dividend - Rs 5 Per Share","2","15-Feb-2021","16-Feb-2021","-","-"
"GALAXYSURF","Galaxy Surfactants Limited","EQ"," Interim Dividend - Rs 14 Per Share","10","15-Feb-2021","16-Feb-2021","-","-"
"HIKAL","Hikal Limited","EQ"," Interim Dividend - Re 1 Per Share","2","15-Feb-2021","16-Feb-2021","-","-"
"MINDACORP","Minda Corporation Limited","EQ"," Interim Dividend - Rs 0.30 Per Sh","2","15-Feb-2021","16-Feb-2021","-","-"
"UNOMINDA","UNO Minda Limited","EQ"," Interim Dividend - Rs 0.35 Per Share","2","15-Feb-2021","16-Feb-2021","-","-"
"HEROMOTOCO","Hero MotoCorp Limited","EQ"," Interim Dividend - Rs 65 Per Share Special Dividend - Rs 5 Per Share","2","15-Feb-2021","16-Feb-2021","-","-"
"TORNTPHARM","Torrent Pharmaceuticals Limited","EQ"," Interim Dividend - Rs 20 Per Share","5","15-Feb-2021","16-Feb-2021","-","-"
"TCIEXP","TCI Express Limited","EQ"," Interim Dividend - Rs 2 Per Share","2","16-Feb-2021","17-Feb-2021","-","-"
"SHAREINDIA","Share India Securities Limited","EQ"," Interim Dividend - Re 1 Per Share","10","16-Feb-2021","17-Feb-2021","-","-"
"GULFOILLUB","Gulf Oil Lubricants India Limited","EQ"," Interim Dividend - Rs 7 Per Share","2","16-Feb-2021","17-Feb-2021","-","-"
"TORNTPOWER","Torrent Power Limited","EQ"," Interim Dividend - Rs 5.50 Per Share","10","16-Feb-2021","17-Feb-2021","-","-"
"NILKAMAL","Nilkamal Limited","EQ"," Interim Dividend - Rs 5 Per Share","10","16-Feb-2021","17-Feb-2021","-","-"
