SYMBOL,SYMBOL P/E,ADJUSTED P/E
SAKHTISUG,2.80,
IPCALAB,49.16,48.59
INGERRAND,45.90,45.90
AKZOINDIA,36.93,36.93
HINDALCO,10.27,9.82
HINDZINC,17.50,17.40
HINDUNILVR,51.92,53.07
GSFC,14.40,14.58
GRASIM,23.90,22.62
AMBUJACEM,25.67,25.59
FINPIPE,14.77,25.78
FINCABLES,20.89,28.90
EIDPARRY,10.12,10.12
DCW,74.65,74.65
DCM,19.63,19.63
CGPOWER,102.48,102.48
HEUBACHIND,29.07,29.07
CESC,14.91,14.91
BIRLACORPN,34.82,31.67
BHEL,181.87,181.87
BEL,49.56,49.56
BAJFINANCE,33.52,33.52
ASHAPURMIN,14.05,17.36
PVP,768.76,810.08
NAVA,9.62,9.62
CORALFINAC,7.22,7.22
GREENPLY,28.25,28.25
TNPL,65.83,65.83
AUTOAXLES,16.79,16.79
REMSONSIND,27.71,27.97
DALMIASUG,8.66,8.66
NATCOPHARM,7.93,7.93
KHAITANLTD,7.36,7.36
SWARAJENG,30.32,30.32
MRF,31.86,31.86
GARFIBRES,39.45,39.45
ANDHRSUGAR,30.17,27.27
TNPETRO,12.12,15.79
TTKPRESTIG,41.71,41.71
STARPAPER,5.14,5.13
SKFINDIA,38.67,38.67
AUSOMENT,12.26,12.26
EIMCOELECO,24.83,24.83
JAYAGROGN,12.31,12.31
CUBEXTUB,21.83,21.83
MARICO,56.85,56.85
SILINV,20.97,20.97
SAMBHAAV,398.30,398.30
BIOFILCHEM,116.88,116.88
KEYFINSERV,9.82,9.82
SUNDRMBRAK,64.30,64.30
SANGAMIND,59.10,51.13
MOTHERSON,25.04,25.05
SOMATEX,1.66,
AARTIDRUGS,24.62,24.62
STERTOOLS,17.68,17.68
CREST,12.15,12.15
INDIANCARD,2.49,17.58
HITECHGEAR,22.77,22.75
WENDT,52.61,52.61
DENORA,241.77,241.77
TVSSRICHAK,65.80,53.81
SHRIRAMFIN,12.64,14.30
PUNJABCHEM,35.47,33.35
MIRZAINT,201.17,201.17
DYNAMATECH,55.55,109.59
GUJAPOLLO,41.91,41.91
GANESHHOUC,15.35,15.35
MMFL,13.51,13.56
JAGSNPHARM,26.31,36.64
ALKYLAMINE,46.67,46.67
JCHAC,92.05,89.03
MPHASIS,27.83,27.83
GUJRAFFIA,36.87,36.87
ATLASCYCLE,3.71,3.71
RAMCOIND,24.82,24.82
KOTHARIPET,14.75,14.68
HERITGFOOD,19.80,19.39
INDRAMEDCO,25.34,25.34
BANKBARODA,5.88,5.88
MADRASFERT,7.01,7.22
GAIL,11.03,13.32
INDNIPPON,18.24,18.24
SKMEGGPROD,13.22,13.22
BANKINDIA,5.49,5.49
CONCOR,32.99,32.32
ICICIBANK,18.74,18.74
KCPSUGIND,8.36,11.14
HUDCO,16.29,16.29
INDSWFTLAB,1.89,109.35
SAREGAMA,52.92,52.92
FDC,25.92,25.92
ENGINERSIN,32.39,32.39
ADROITINFO,18.30,18.30
JAICORPLTD,23.52,23.52
GMDCLTD,14.87,14.87
MAHAPEXLTD,14.00,16.87
INDUSINDBK,8.27,8.27
ASAHIINDIA,52.25,56.00
TRIGYN,8.47,8.21
J&KBANK,5.36,5.36
CUB,12.58,12.58
SOUTHBANK,5.54,5.54
ASTRAZEN,211.13,93.40
ITDCEM,25.94,25.94
AXISBANK,13.16,13.16
CYIENT,21.14,21.14
SONATSOFTW,26.41,26.41
CYBERTECH,13.63,13.63
KOKUYOCMLN,95.25,95.25
DHANBANK,17.82,17.82
SANGHVIMOV,16.77,16.77
STCINDIA,20.72,11.88
RSSOFTWARE,14.16,14.16
NATIONALUM,7.11,7.69
IVC,45.16,45.16
JINDALSTEL,32.51,
ALEMBICLTD,18.51,18.51
NIPPOBATRY,2.90,2.90
ICDSLTD,62.34,62.34
BSOFT,20.35,20.35
HCLTECH,25.26,25.26
ACCELYA,21.26,21.31
STAR,18.35,17.55
ZYDUSLIFE,19.76,19.76
RAJESHEXPO,148.75,148.75
SHREERAMA,24.78,24.78
NRBBEARING,20.78,21.71
IOB,21.27,21.27
GEPIL,54.86,54.86
KTKBANK,5.92,5.92
BLBLIMITED,17.61,17.61
AJANTPHARM,35.19,35.19
BLUESTARCO,54.86,55.76
CALSOFT,29.15,29.15
TVSMOTOR,52.75,52.75
PNBGILTS,7.28,7.37
PNC,65.63,65.63
TAJGVK,27.71,27.71
NLCINDIA,13.48,13.48
CHENNPETRO,59.59,59.59
KRBL,16.70,16.70
HAVELLS,67.97,67.97
GAEL,17.97,17.97
USHAMART,24.19,24.19
AXISCADES,68.22,66.66
UMIYA-MRO,19.35,19.35
TIPSMUSIC,48.75,48.75
KHANDSE,38.67,38.67
HIKAL,67.40,67.40
TRIDENT,48.70,48.70
MARKSANS,29.11,29.11
GOLDTECH,26.72,
SMARTLINK,22.98,22.98
GODREJCP,69.94,67.96
JISLJALEQS,106.30,106.30
LUPIN,32.59,32.59
UNITDSPR,80.27,76.69
TCI,27.06,26.88
MPSLTD,31.87,31.87
BHARTIARTL,30.73,38.45
ASAL,46.19,46.19
OLECTRA,78.48,81.42
PONNIERODE,14.24,14.24
PNB,6.44,6.44
APTECHT,50.48,49.18
SURANAT&P,26.55,26.67
TIMESGTY,78.21,78.21
OFSS,30.96,30.96
UNIONBANK,5.57,5.57
NUCLEUS,17.04,17.04
CANBK,5.48,5.48
GENESYS,54.27,54.27
OMAXAUTO,8.27,51.31
GODREJIND,25.33,25.33
RADAAN,5.04,5.04
DIVISLAB,78.04,78.04
RADICO,100.42,100.42
MARUTI,27.53,27.53
VARDHACRLC,28.35,28.35
UCOBANK,15.96,15.96
BAGFILMS,41.07,41.07
JSL,20.59,20.55
NSIL,46.91,46.91
WELSPUNLIV,21.59,21.59
JAIBALAJI,18.13,18.13
IGL,21.06,21.06
TVTODAY,12.87,12.36
UNIENTER,901.14,901.14
UPL,37.35,27.95
SIL,131.77,131.77
MUKANDLTD,16.57,16.57
PETRONET,13.20,13.20
PTC,9.30,9.11
